,LSTM_Acc_AVG,Val_Acc_AVG,Timestep,Neurons,Dropout,Learning,difference
157,0.519388686,0.515018246,96,8,0.4,0.001,0.00437044
158,0.531614964,0.525159671,96,32,0.1,0.01,0.006455293
159,0.527372263,0.524315692,96,32,0.1,0.001,0.003056571
160,0.528056569,0.525282847,96,32,0.2,0.01,0.002773722
161,0.533120438,0.522340327,96,32,0.2,0.001,0.010780111
162,0.524589416,0.521081203,96,32,0.3,0.01,0.003508213
163,0.532208029,0.524749088,96,32,0.3,0.001,0.007458942
164,0.527874088,0.518681568,96,32,0.4,0.01,0.00919252
165,0.528649635,0.522737226,96,32,0.4,0.001,0.005912409
166,0.531523723,0.525095802,96,65,0.1,0.01,0.006427921
167,0.527281022,0.526756388,96,65,0.1,0.001,0.000524634
168,0.526414234,0.522979012,96,65,0.2,0.01,0.003435221
169,0.530383212,0.526733577,96,65,0.2,0.001,0.003649635
170,0.519981752,0.515793797,96,65,0.3,0.01,0.004187954
171,0.533120438,0.524995439,96,65,0.3,0.001,0.008124999
172,0.517153285,0.51161496,96,65,0.4,0.01,0.005538325
173,0.520027372,0.515045619,96,65,0.4,0.01,0.004981753
174,0.532436131,0.522705294,96,65,0.4,0.001,0.009730837
175,0.511952555,0.510524634,96,128,0.1,0.01,0.001427921
176,0.530748175,0.524005474,96,128,0.1,0.001,0.006742701
177,0.516012774,0.50708029,96,128,0.2,0.01,0.008932483
178,0.530930657,0.527760036,96,128,0.2,0.001,0.003170621
179,0.502463504,0.507066605,96,128,0.3,0.01,-0.004603101
180,0.530520073,0.524165146,96,128,0.3,0.001,0.006354927
181,0.506888686,0.506646895,96,128,0.4,0.01,0.000241791
182,0.531523723,0.525515512,96,128,0.4,0.001,0.006008211
183,0.521693364,0.516828382,168,2,0.1,0.01,0.004864982
184,0.517528604,0.513377574,168,2,0.1,0.001,0.00415103
185,0.52389016,0.517844398,168,2,0.2,0.01,0.006045762
186,0.5202746,0.5154508,168,2,0.2,0.001,0.004823799
187,0.513592677,0.512265448,168,2,0.3,0.01,0.00132723
188,0.511350114,0.510201373,168,2,0.3,0.001,0.001148742
189,0.510526316,0.507263161,168,2,0.4,0.01,0.003263155
190,0.51583524,0.513940505,168,2,0.4,0.001,0.001894735
191,0.523524027,0.522164761,168,8,0.1,0.01,0.001359267
192,0.528741419,0.521725401,168,8,0.1,0.001,0.007016018
193,0.535148741,0.523638442,168,8,0.2,0.01,0.0115103
194,0.527002288,0.521739131,168,8,0.2,0.001,0.005263157
195,0.527505721,0.516247137,168,8,0.3,0.01,0.011258583
196,0.524805492,0.516924482,168,8,0.3,0.001,0.00788101
197,0.522974828,0.516961099,168,8,0.4,0.01,0.006013729
198,0.526270023,0.517386727,168,8,0.4,0.001,0.008883296
199,0.526315789,0.525688791,168,32,0.1,0.01,0.000626999
200,0.534919908,0.525400455,168,32,0.1,0.001,0.009519454
201,0.524118993,0.520608695,168,32,0.2,0.01,0.003510298
202,0.52979405,0.525986267,168,32,0.2,0.001,0.003807783
203,0.52819222,0.52217849,168,32,0.3,0.01,0.00601373
204,0.528695652,0.52426545,168,32,0.3,0.001,0.004430202
205,0.526407323,0.516485122,168,32,0.4,0.01,0.009922201
206,0.528283753,0.523386731,168,32,0.4,0.001,0.004897022
207,0.517665904,0.518540047,168,65,0.1,0.01,-0.000874143
208,0.53423341,0.525249427,168,65,0.4,0.001,0.008983982
209,0.533638444,0.526906178,168,65,0.1,0.001,0.006732266
210,0.531487414,0.525752864,168,65,0.2,0.001,0.00573455
211,0.53020595,0.52638444,168,65,0.3,0.001,0.00382151
212,0.530114416,0.519610984,168,65,0.2,0.01,0.010503432
213,0.521784897,0.517084667,168,65,0.3,0.01,0.00470023
214,0.512173913,0.513276888,168,65,0.4,0.01,-0.001102975
215,0.524530892,0.513199084,168,128,0.1,0.01,0.011331808
216,0.529610984,0.526508009,168,128,0.1,0.001,0.003102975
217,0.505995423,0.509514876,168,128,0.2,0.01,-0.003519453
218,0.525217391,0.526242563,168,128,0.2,0.001,-0.001025172
219,0.517208238,0.508983983,168,128,0.3,0.01,0.008224255
220,0.524988558,0.524549196,168,128,0.3,0.001,0.000439362
221,0.50576659,0.507336389,168,128,0.4,0.01,-0.001569799
222,0.526910755,0.527057211,168,128,0.4,0.001,-0.000146456
